case_id,source,category,subcategory,prev,wrong,next,expected,note,fragment
t2_0425,test2.csv,general-english,ins,,resourczes,in,resources,general-English nonword edit=ins,resourczes in the family sphere should
t2_0426,test2.csv,general-english,dist2_del_rep,adult,pjulation,,population,general-English nonword edit=dist2_del_rep,clinical psychology and general adult pjulation
t2_0427,test2.csv,general-english,ins,article,aimqs,to,aims,general-English nonword edit=ins,this article aimqs to present the main impacts
t2_0428,test2.csv,general-english,ins,and,seervices,need,services,general-English nonword edit=ins,consumption of harmful commodities and seervices need to change
t2_0429,test2.csv,general-english,rep,of,revies,to,review,general-English nonword edit=rep,purpose of revies to provide an overview of
t2_0430,test2.csv,general-english,del,entire,populatin,and,population,general-English nonword edit=del,social lives of the entire populatin and are likely to impact
t2_0431,test2.csv,general-english,dist2_del_rep,general,pjblc,healthcare,public,general-English nonword edit=dist2_del_rep,most important recommendations for general pjblc healthcare professionals who are directly
t2_0432,test2.csv,general-english,del,promotion,eduation,research,education,general-English nonword edit=del,demands recalibration of health promotion eduation research and practice in australia
t2_0433,test2.csv,general-english,ins,,ailthough,laboratory,although,general-English nonword edit=ins,ailthough laboratory testing using reverse transcription
t2_0434,test2.csv,general-english,del,to,evluate,the,evaluate,general-English nonword edit=del,of this study was to evluate the impact of the covid-19
t2_0435,test2.csv,general-english,rep,are,ttus,facing,thus,general-English nonword edit=rep,oncologists are ttus facing challenge as how to
t2_0436,test2.csv,general-english,dist2_del_rep,analysis,etweez,suspected,between,general-English nonword edit=dist2_del_rep,correlations and time-series lag analysis etweez suspected and confirmed covid-19 hospital
t2_0437,test2.csv,general-english,rep,an,infectioun,disease,infectious,general-English nonword edit=rep,present mathematical model of an infectioun disease according to the characteristics
t2_0438,test2.csv,general-english,del,no,respiraory,symptoms,respiratory,general-English nonword edit=del,of baseline samples with no respiraory symptoms
t2_0439,test2.csv,general-english,rep,,previuus,studies,previous,general-English nonword edit=rep,previuus studies which were tailored to
t2_0440,test2.csv,general-english,del,specific,antivral,inhibitors,antiviral,general-English nonword edit=del,discovery of potent and specific antivral inhibitors and or vaccines to
t2_0441,test2.csv,general-english,trans,group,intervnetion,integrating,intervention,general-English nonword edit=trans,novel 10-session manualized telehealth group intervnetion integrating skills training and social
t2_0442,test2.csv,general-english,del,addition,supprt,systems,support,general-English nonword edit=del,in addition supprt systems and social protection should
t2_0443,test2.csv,general-english,del,were,ound,to,found,general-English nonword edit=del,loss of taste smell were ound to be significantly more prevalent
t2_0444,test2.csv,general-english,ins,were,ibncluded,in,included,general-English nonword edit=ins,of those three rcts were ibncluded in the meta-analysis the meta-analysis
t2_0445,test2.csv,general-english,ins,mainstay,economhic,sectors,economic,general-English nonword edit=ins,as one of its mainstay economhic sectors the tsunami and covid-19
t2_0446,test2.csv,general-english,dist2_del_rep,medical,equiphnt,,equipment,general-English nonword edit=dist2_del_rep,due to lack of medical equiphnt
t2_0447,test2.csv,general-english,trans,regression,tesst,using,tests,general-English nonword edit=trans,using anova and linear regression tesst using spss software
t2_0448,test2.csv,general-english,rep,systematic,citerature,search,literature,general-English nonword edit=rep,methods we performed systematic citerature search from several databases on
t2_0449,test2.csv,general-english,dist2_del_rep,rfid,tectology,is,technology,general-English nonword edit=dist2_del_rep,machine is developed the rfid tectology is used to scan the
t2_0450,test2.csv,general-english,rep,we,useu,roughage,used,general-English nonword edit=rep,tifton hay cynodon spp we useu roughage concentrate
t2_0451,test2.csv,general-english,dist2_del_rep,explore,whsher,covid-19,whether,general-English nonword edit=dist2_del_rep,aim to explore whsher covid-19 pandemic fears are associated
t2_0452,test2.csv,general-english,del,information,aout,what,about,general-English nonword edit=del,and the dissemination of information aout what opportunities and threats currently
t2_0453,test2.csv,general-english,rep,articles,publirhed,in,published,general-English nonword edit=rep,of the identified articles publirhed in the past years experiential
t2_0454,test2.csv,general-english,ins,the,meayn,age,mean,general-English nonword edit=ins,spss results patients with the meayn age of years were evaluated
t2_0455,test2.csv,general-english,rep,the,ongoiug,covid-19,ongoing,general-English nonword edit=rep,the ongoiug covid-19 pandemic is causing massive
t2_0456,test2.csv,general-english,trans,individuals,inefcted,vaccinated,infected,general-English nonword edit=trans,compartments with discrimination between individuals inefcted vaccinated for the first time
t2_0457,test2.csv,general-english,rep,,concluqion,the,conclusion,general-English nonword edit=rep,concluqion the high pregnancy rate observed
t2_0458,test2.csv,general-english,del,ongoing,clinial,care,clinical,general-English nonword edit=del,covid-19 illness might require ongoing clinial care
t2_0459,test2.csv,general-english,dist2_del_rep,covid-19,alhoqgh,no,although,general-English nonword edit=dist2_del_rep,under the influence of covid-19 alhoqgh no significant relationship was found
t2_0460,test2.csv,general-english,ins,spread,womrldwide,previously,worldwide,general-English nonword edit=ins,wuhan and has rapidly spread womrldwide previously discharged patients with coronavirus
t2_0461,test2.csv,general-english,dist2_del_rep,results,sugekt,that,suggest,general-English nonword edit=dist2_del_rep,our results sugekt that lockdowns should remain in
t2_0462,test2.csv,general-english,rep,of,facx,masks,face,general-English nonword edit=rep,recommendations for the use of facx masks and fallow times with
t2_0463,test2.csv,general-english,rep,rbd,specilic,immunoglobulin,specific,general-English nonword edit=rep,assay for receptor-binding domain rbd specilic immunoglobulin ig and igg
t2_0464,test2.csv,general-english,rep,antiviral,actiyity,of,activity,general-English nonword edit=rep,to the observed enhanced antiviral actiyity of the modified sirnas
t2_0465,test2.csv,general-english,dist2_del_rep,,moveove,perceived,moreover,general-English nonword edit=dist2_del_rep,moveove perceived behavioural control has the
t2_0466,test2.csv,general-english,rep,ecological,determinahts,of,determinants,general-English nonword edit=rep,chapter we focus on ecological determinahts of health including the urgent
t2_0467,test2.csv,general-english,ins,in,adqdition,to,addition,general-English nonword edit=ins,demonstrate that electrical stimulation in adqdition to cell migration can also
t2_0468,test2.csv,general-english,ins,instructional,acvtivities,that,activities,general-English nonword edit=ins,the form of written instructional acvtivities that used literary works as
t2_0469,test2.csv,general-english,del,scarce,resurces,distributed,resources,general-English nonword edit=del,of assigning set of scarce resurces distributed over time to set
t2_0470,test2.csv,general-english,rep,of,muotiple,droplets,multiple,general-English nonword edit=rep,used for concurrent transportation of muotiple droplets it requires the availability
t2_0471,test2.csv,negative,do-no-harm,and,ethical,applications,ethical,should remain unchanged,considered to ensure equitable and ethical applications and use
t2_0472,test2.csv,negative,do-no-harm,being,recognized,,recognized,should remain unchanged,the covid-19 pandemic are being recognized
t2_0473,test2.csv,negative,do-no-harm,daily,traveling,this,traveling,should remain unchanged,decisions to refrain from daily traveling this paper focuses on modes
t2_0474,test2.csv,negative,do-no-harm,and,communications,technology,communications,should remain unchanged,beginning of the information and communications technology revolution all of the
t2_0475,test2.csv,negative,do-no-harm,the,problem,of,problem,should remain unchanged,self-knowledge distillation to address the problem of differentiating covid-19 from pneumonia
t2_0476,test2.csv,negative,do-no-harm,the,spread,of,spread,should remain unchanged,is used to model the spread of covid-19 the susceptible-infected-removed sir
t2_0477,test2.csv,negative,do-no-harm,had,fever,cough,fever,should remain unchanged,patients with covid-19 who had fever cough and dyspnea were susceptible
t2_0478,test2.csv,negative,do-no-harm,are,becoming,more,becoming,should remain unchanged,consequently host immune factors are becoming more recognized as potential biomarkers
t2_0479,test2.csv,negative,do-no-harm,clinical,course,resembling,course,should remain unchanged,of the disease with clinical course resembling the multisystem inflammatory syndrome
t2_0480,test2.csv,negative,do-no-harm,weekly,average,traffic,average,should remain unchanged,three weeks and the weekly average traffic speed in all road
t2_0481,test2.csv,negative,do-no-harm,is,known,about,known,should remain unchanged,however little is known about the prevalence rate of
t2_0482,test2.csv,negative,do-no-harm,we,consider,how,consider,should remain unchanged,in light of this we consider how covid-19 disparities and disease
t2_0483,test2.csv,negative,do-no-harm,mental,health,of,health,should remain unchanged,provided to improve the mental health of the general population
t2_0484,test2.csv,negative,do-no-harm,acid,residue,of,residue,should remain unchanged,were the key amino acid residue of sar-cov-2 mpro involved in
t2_0485,test2.csv,negative,do-no-harm,the,objective,of,objective,should remain unchanged,the objective of this research is the
t2_0486,test2.csv,negative,do-no-harm,the,analysis,is,analysis,should remain unchanged,the analysis is presented and updated on
t2_0487,test2.csv,negative,do-no-harm,our,travel,footprint,travel,should remain unchanged,with the reduction of our travel footprint being one of the
t2_0488,test2.csv,negative,do-no-harm,more,pressing,focus,pressing,should remain unchanged,an afterthought to the more pressing focus on pedagogical interactions with
t2_0489,test2.csv,negative,do-no-harm,computational,techniques,allowed,techniques,should remain unchanged,results from the computational techniques allowed us to identify potential
t2_0490,test2.csv,negative,do-no-harm,enforce,social,distancing,social,should remain unchanged,also less likely to enforce social distancing
t2_0491,test2.csv,negative,do-no-harm,immune,alterations,engendered,alterations,should remain unchanged,in the setting of immune alterations engendered by their malignancy and
t2_0492,test2.csv,negative,do-no-harm,persons,after,child,after,should remain unchanged,per persons ci per persons after child birthday compared with an
t2_0493,test2.csv,negative,do-no-harm,can,reduce,the,reduce,should remain unchanged,another function which can reduce the need for physical proximity
t2_0494,test2.csv,negative,do-no-harm,newly,recruited,male,recruited,should remain unchanged,the work experience of newly recruited male nurses during the covid-19
t2_0495,test2.csv,negative,do-no-harm,the,protective,performance,protective,should remain unchanged,sign monitors coatings enable the protective performance of devices and equipment
t2_0496,test2.csv,negative,do-no-harm,for,different,industries,different,should remain unchanged,its causes and consequences for different industries construction and real estate
t2_0497,test2.csv,negative,do-no-harm,lockdown,compared,with,compared,should remain unchanged,that after the residential lockdown compared with the nonlockdown group the
t2_0498,test2.csv,negative,do-no-harm,were,significantly,higher,significantly,should remain unchanged,that the d-dimer concentrations were significantly higher in patients with more
t2_0499,test2.csv,negative,do-no-harm,generated,antibodies,against,antibodies,should remain unchanged,as of the patients generated antibodies against the virus
t2_0500,test2.csv,negative,do-no-harm,non-shared,variants,and,variants,should remain unchanged,pathogenic when compared with non-shared variants and showed higher variant-allele-fraction
t2_0501,test2.csv,negative,do-no-harm,development,have,the,have,should remain unchanged,approaches to manipulate spikelet development have the potential to increase grain
t2_0502,test2.csv,negative,do-no-harm,in,blood,of,blood,should remain unchanged,nucleocapsid and spike antigens in blood of pediatric patients with either
t2_0503,test2.csv,negative,do-no-harm,chapter,governance,for,governance,should remain unchanged,chapter governance for health and equity vision
t2_0504,test2.csv,negative,do-no-harm,have,reported,the,reported,should remain unchanged,we and others have reported the striking antibody evasion of
t2_0505,test2.csv,negative,do-no-harm,tses,scores,of,scores,should remain unchanged,engagement were lower than tses scores of instructional and engagement in
t2_0506,test2.csv,negative,do-no-harm,maximum,voluntary,quadriceps,voluntary,should remain unchanged,mass as well as maximum voluntary quadriceps contraction and balance during
t2_0507,test2.csv,negative,do-no-harm,and,observe,consequent,observe,should remain unchanged,chain reaction based diagnosis and observe consequent impacts
t2_0508,test2.csv,negative,do-no-harm,with,known,contact,known,should remain unchanged,aor ci and those with known contact with someone with confirmed
t2_0509,test2.csv,negative,do-no-harm,consumerism,particularly,how,particularly,should remain unchanged,consequences of the growing consumerism particularly how carbon footprints of the
t2_0510,test2.csv,negative,do-no-harm,spillover,effects,and,effects,should remain unchanged,our findings anticipatory effects spillover effects and city level of connection
t2_0511,test2.csv,negative,do-no-harm,as,common,central,common,should remain unchanged,towards myelitis like encephalitis as common central nervous system complication of
t2_0512,test2.csv,negative,do-no-harm,human,respiratory,secretions,respiratory,should remain unchanged,an organic matrix mimicking human respiratory secretions
t2_0513,test2.csv,negative,do-no-harm,or,latent,tb,latent,should remain unchanged,patients either with tb or latent tb infection ltbi
t2_0514,test2.csv,negative,do-no-harm,transcription,complex,whereas,complex,should remain unchanged,enzyme of coronavirus replication transcription complex whereas the main protease acts
t2_0515,test2.csv,negative,do-no-harm,in,detail,,detail,should remain unchanged,to study this virus in detail
t2_0516,test2.csv,negative,do-no-harm,including,pandemics,which,pandemics,should remain unchanged,of public health crises including pandemics which involve caring for many
t2_0517,test2.csv,negative,do-no-harm,cough,followed,by,followed,should remain unchanged,included in the study cough followed by dyspnea were the two
t2_0518,test2.csv,negative,do-no-harm,potential,impact,that,impact,should remain unchanged,may and explore the potential impact that the relaxation of the
t2_0519,test2.csv,negative,do-no-harm,,results,the,results,should remain unchanged,results the mean score of anxiety
t2_0520,test2.csv,negative,do-no-harm,in,addition,we,addition,should remain unchanged,in addition we provide examples of the
t2_0521,test2.csv,covid-normalization,covid-18-variant,the,covid-18,pandemic,covid-19,normalize covid-18 -> covid-19,aspects of migrants during the covid-18 pandemic
t2_0522,test2.csv,covid-normalization,covid-18-variant,of,covid-18,patients,covid-19,normalize covid-18 -> covid-19,march and may total of covid-18 patients were admitted to the
t2_0523,test2.csv,covid-normalization,covid-18-variant,against,covid-18,,covid-19,normalize covid-18 -> covid-19,allies in the fight against covid-18
t2_0524,test2.csv,covid-normalization,covid-18-variant,disease,covid18,at,covid-19,normalize covid18 -> covid-19,the novel corona virus disease covid18 at the end of specific
t2_0525,test2.csv,covid-normalization,covid-18-variant,from,covid18,was,covid-19,normalize covid18 -> covid-19,presentation and the mortality from covid18 was high
t2_0526,test2.csv,covid-normalization,covid-18-variant,disease,covid18,called,covid-19,normalize covid18 -> covid-19,the fast-moving coronavirus disease covid18 called for rapid response to
t2_0527,test2.csv,covid-normalization,covid-18-variant,the,covd-18,pandemic,covid-19,normalize covd-18 -> covid-19,with the covd-18 pandemic reaching more mature yet
t2_0528,test2.csv,covid-normalization,covid-18-variant,of,covd-18,detection,covid-19,normalize covd-18 -> covid-19,rt-pcr as the procedure of covd-18 detection both of these procedures
t2_0529,test2.csv,covid-normalization,covid-18-variant,during,covd-18,items,covid-19,normalize covd-18 -> covid-19,sleep behavior before versus during covd-18 items assessing covid-19 specific reasons
t2_0530,test2.csv,covid-normalization,covid-18-variant,on,covid_18,mortality,covid-19,normalize covid_18 -> covid-19,the effects of lockdowns on covid_18 mortality
t2_0531,test2.csv,covid-normalization,covid-18-variant,the,covid_18,,covid-19,normalize covid_18 -> covid-19,stop the threat of the covid_18
t2_0532,test2.csv,covid-normalization,covid-18-variant,severe,covid_18,characterized,covid-19,normalize covid_18 -> covid-19,in patients recovering from severe covid_18 characterized by marked elevation in
t2_0533,test2.csv,covid-normalization,covid-18-variant,the,covid--18,pandemic,covid-19,normalize covid--18 -> covid-19,the covid--18 pandemic has led to widespread
t2_0534,test2.csv,covid-normalization,covid-18-variant,the,covid--18,epidemic,covid-19,normalize covid--18 -> covid-19,elderly leaving home during the covid--18 epidemic data were analyzed using
t2_0535,test2.csv,covid-normalization,covid-18-variant,however,covid--18,patients,covid-19,normalize covid--18 -> covid-19,however covid--18 patients lead to pulmonary fibrosis
t2_0536,test2.csv,covid-normalization,covid-18-variant,treat,covid---18,patients,covid-19,normalize covid---18 -> covid-19,in the decision to treat covid---18 patients in the absence of
t2_0537,test2.csv,covid-normalization,covid-18-variant,the,covid---18,pandemic,covid-19,normalize covid---18 -> covid-19,with the covid---18 pandemic reaching more mature yet
t2_0538,test2.csv,covid-normalization,covid-18-variant,developed,covid---18,vaccines,covid-19,normalize covid---18 -> covid-19,recently developed covid---18 vaccines significantly reduce the risk
t2_0539,test2.csv,covid-normalization,covid-18-variant,of,covid-018,enters,covid-19,normalize covid-018 -> covid-19,as the outbreak of covid-018 enters its third year we
t2_0540,test2.csv,covid-normalization,covid-18-variant,on,covid-018,needs,covid-19,normalize covid-018 -> covid-19,therefore public vigilance on covid-018 needs to be reinvigorated through
t2_0541,test2.csv,covid-normalization,covid-18-variant,diagnosed,covid-018,infection,covid-19,normalize covid-018 -> covid-19,with increased rates of diagnosed covid-018 infection within households in counties
t2_0542,test2.csv,covid-normalization,covid-18-variant,pandemic,covid_018,brought,covid-19,normalize covid_018 -> covid-19,summary the coronavirus pandemic covid_018 brought up discussions about improvements
t2_0543,test2.csv,covid-normalization,covid-18-variant,the,covid_018,pandemic,covid-19,normalize covid_018 -> covid-19,rationale the covid_018 pandemic is spreading around the
t2_0544,test2.csv,covid-normalization,covid-18-variant,were,covid_018,negative,covid-19,normalize covid_018 -> covid-19,results nineteen patients were covid_018 negative and were positive
t2_0545,test2.csv,covid-normalization,covid-18-variant,from,covid0018,are,covid-19,normalize covid0018 -> covid-19,for example those suffering from covid0018 are experiencing situational crisis in
t2_0546,test2.csv,covid-normalization,covid-18-variant,the,covid0018,pandemic,covid-19,normalize covid0018 -> covid-19,the covid0018 pandemic caused by infection with
t2_0547,test2.csv,covid-normalization,covid-18-variant,specific,covid0018,related,covid-19,normalize covid0018 -> covid-19,general health questionnaire-12 specific covid0018 related anxiety questions the coping
t2_0548,test2.csv,covid-normalization,covid-18-variant,the,covid-0018,pandemic,covid-19,normalize covid-0018 -> covid-19,the covid-0018 pandemic has bared the fragile
t2_0549,test2.csv,covid-normalization,covid-18-variant,covid-19,covid-0018,sequelae,covid-19,normalize covid-0018 -> covid-19,in the presence of covid-19 covid-0018 sequelae or indirect effects of
t2_0550,test2.csv,covid-normalization,covid-18-variant,for,covid-0018,infection,covid-19,normalize covid-0018 -> covid-19,the recommended indicator for covid-0018 infection is the indicator of
t2_0551,test2.csv,covid-normalization,covid-18-variant,of,covid00018,have,covid-19,normalize covid00018 -> covid-19,the pulmonary manifestations of covid00018 have been well described in
t2_0552,test2.csv,covid-normalization,covid-18-variant,with,covid00018,there,covid-19,normalize covid00018 -> covid-19,network centers treating patients with covid00018 there were no relevant shortcomings
t2_0553,test2.csv,covid-normalization,covid-18-variant,the,covid00018,pandemic,covid-19,normalize covid00018 -> covid-19,in our hospital during the covid00018 pandemic period group and on
t2_0554,test2.csv,covid-normalization,covid-18-variant,from,covid-00018,cases,covid-19,normalize covid-00018 -> covid-19,detection and distinguish covid-19 from covid-00018 cases
t2_0555,test2.csv,covid-normalization,covid-18-variant,from,covid-00018,,covid-19,normalize covid-00018 -> covid-19,fight and stay safe from covid-00018
t2_0556,test2.csv,covid-normalization,covid-18-variant,acute,covid-00018,patients,covid-19,normalize covid-00018 -> covid-19,acute covid-00018 patients had range of disease
t2_0557,test2.csv,covid-normalization,covid-18-variant,does,covid2018,present,covid-19,normalize covid2018 -> covid-19,how does covid2018 present in pd patients
t2_0558,test2.csv,covid-normalization,covid-18-variant,for,covid2018,,covid-19,normalize covid2018 -> covid-19,these symptoms are tested for covid2018
t2_0559,test2.csv,covid-normalization,covid-18-variant,,covid2018,vaccines,covid-19,normalize covid2018 -> covid-19,covid2018 vaccines namely moderna pfizer-biontech and
t2_0560,test2.csv,covid-normalization,covid-18-variant,in,covid-2018,mortality,covid-19,normalize covid-2018 -> covid-19,incidence and decrease lt in covid-2018 mortality
t2_0561,test2.csv,covid-normalization,covid-18-variant,the,covid-2018,posts,covid-19,normalize covid-2018 -> covid-19,public in response to the covid-2018 posts of three public health
t2_0562,test2.csv,covid-normalization,covid-18-variant,of,covid-2018,but,covid-19,normalize covid-2018 -> covid-19,china after the outbreak of covid-2018 but it remains to be
t2_0563,test2.csv,covid-normalization,covid-18-variant,turkey,covid_2018,treatment,covid-19,normalize covid_2018 -> covid-19,ministry of health of turkey covid_2018 treatment guideline and expert opinions
t2_0564,test2.csv,covid-normalization,covid-18-variant,of,covid_2018,was,covid-19,normalize covid_2018 -> covid-19,to incidence ratio mir of covid_2018 was in the us
t2_0565,test2.csv,covid-normalization,covid-18-variant,disease,covid_2018,within,covid-19,normalize covid_2018 -> covid-19,the transmission of coronavirus disease covid_2018 within the community
t2_0566,test2.csv,covid-normalization,covid-18-variant,the,covid-118,pandemic,covid-19,normalize covid-118 -> covid-19,or indirect effects of the covid-118 pandemic
t2_0567,test2.csv,covid-normalization,covid-18-variant,disease,covid-118,caused,covid-19,normalize covid-118 -> covid-19,coronavirus disease covid-118 caused by severe acute respiratory
t2_0568,test2.csv,covid-normalization,covid-18-variant,and,covid-118,knowledge,covid-19,normalize covid-118 -> covid-19,use during the lockdown and covid-118 knowledge
t2_0569,test2.csv,covid-normalization,covid-18-variant,of,covid118,and,covid-19,normalize covid118 -> covid-19,objectives the interaction of covid118 and tuberculosis tb are still
t2_0570,test2.csv,covid-normalization,covid-18-variant,studied,covid118,pandemic,covid-19,normalize covid118 -> covid-19,home care during the studied covid118 pandemic period
t2_0571,test2.csv,covid-normalization,covid-18-variant,disease,covid118,the,covid-19,normalize covid118 -> covid-19,causing pandemic of coronavirus disease covid118 the worldwide transmission of covid-19
t2_0572,test2.csv,covid-normalization,covid-18-variant,affecting,covid-1818,clinical,covid-19,normalize covid-1818 -> covid-19,demographic and vaccination status affecting covid-1818 clinical outcomes and describe viral
t2_0573,test2.csv,covid-normalization,covid-18-variant,differentiating,covid-1818,infection,covid-19,normalize covid-1818 -> covid-19,including the challenge of differentiating covid-1818 infection from other diseases
t2_0574,test2.csv,covid-normalization,covid-18-variant,contacting,covid-1818,have,covid-19,normalize covid-1818 -> covid-19,the public fear of contacting covid-1818 have impacted ir workload worldwide
t2_0575,test2.csv,covid-normalization,covid-18-variant,post,covid1818,,covid-19,normalize covid1818 -> covid-19,agenda for tourism research post covid1818
t2_0576,test2.csv,covid-normalization,covid-18-variant,with,covid1818,is,covid-19,normalize covid1818 -> covid-19,the ageusia associated with covid1818 is transient and reports of
t2_0577,test2.csv,covid-normalization,covid-18-variant,severe,covid1818,acute,covid-19,normalize covid1818 -> covid-19,outcome comprising of mortality severe covid1818 acute respiratory distress syndrome ards
t2_0578,test2.csv,covid-normalization,covid-18-variant,contagious,covid18_18,pandemic,covid-19,normalize covid18_18 -> covid-19,fraternity during this highly contagious covid18_18 pandemic
t2_0579,test2.csv,covid-normalization,covid-18-variant,confirmed,covid18_18,hospital,covid-19,normalize covid18_18 -> covid-19,laboratory confirmed admissions laboratory confirmed covid18_18 hospital admissions data were collected
t2_0580,test2.csv,covid-normalization,covid-18-variant,of,covid18_18,pandemic,covid-19,normalize covid18_18 -> covid-19,role in the management of covid18_18 pandemic is presented
t2_0581,test2.csv,real-word,right-only,health,baden,of,burden,realword confusion: expected='burden' wrong='baden' | needs=right-only,reduction in the population health baden of long covid further research
t2_0582,test2.csv,real-word,left-only,covid-19,induces,exhaustion,induced,realword confusion: expected='induced' wrong='induces' | needs=left-only,of ela-induced senescence and covid-19 induces exhaustion represents the worst-case scenario
t2_0583,test2.csv,real-word,left-only,last,lime,of,line,realword confusion: expected='line' wrong='lime' | needs=left-only,lung transplantation is the last lime of treatment for chronic end-stage
t2_0584,test2.csv,real-word,left-only,news,particles,journals,articles,realword confusion: expected='articles' wrong='particles' | needs=left-only,particularly content analysis of news particles journals and the result of
t2_0585,test2.csv,real-word,right-only,within,disk,group,risk,realword confusion: expected='risk' wrong='disk' | needs=right-only,infected inmates and inmates within disk group to date the spps
t2_0586,test2.csv,real-word,both-needed,the,clonal,financial,global,realword confusion: expected='global' wrong='clonal' | needs=both-needed,the pandemic and even the clonal financial crisis
t2_0587,test2.csv,real-word,right-only,of,immunised,individuals,immunized,realword confusion: expected='immunized' wrong='immunised' | needs=right-only,surrounded by enough number of immunised individuals to prevent the spread
t2_0588,test2.csv,real-word,right-only,dramatic,economics,impact,economic,realword confusion: expected='economic' wrong='economics' | needs=right-only,covid-19 pandemic is having dramatic economics impact in most countries
t2_0589,test2.csv,real-word,both-needed,depressive,symptom,with,symptoms,realword confusion: expected='symptoms' wrong='symptom' | needs=both-needed,people with anxiety and depressive symptom with score in the subscale
t2_0590,test2.csv,real-word,left-only,memory,performances,to,performance,realword confusion: expected='performance' wrong='performances' | needs=left-only,superior water actuated shape memory performances to incorporate protective function against
t2_0591,test2.csv,real-word,right-only,new,antivirals,drugs,antiviral,realword confusion: expected='antiviral' wrong='antivirals' | needs=right-only,sars-cov-2 and to develop new antivirals drugs vaccines and antibody therapies
t2_0592,test2.csv,real-word,both-needed,these,sits,are,sites,realword confusion: expected='sites' wrong='sits' | needs=both-needed,besides providing new titles these sits are invaluable as means of
t2_0593,test2.csv,real-word,left-only,logistic,repression,and,regression,realword confusion: expected='regression' wrong='repression' | needs=left-only,were estimated using multivariable logistic repression and minimax concave penalty mcp
t2_0594,test2.csv,real-word,both-needed,be,attended,to,extended,realword confusion: expected='extended' wrong='attended' | needs=both-needed,control centre iccc can be attended to become the nerve centre
t2_0595,test2.csv,real-word,right-only,like,economics,loss,economic,realword confusion: expected='economic' wrong='economics' | needs=right-only,were many problems cause like economics loss loss of life business
t2_0596,test2.csv,real-word,left-only,emerged,caring,indias,during,realword confusion: expected='during' wrong='caring' | needs=left-only,the sars-cov-2 delta variant emerged caring indias second wave of infections
t2_0597,test2.csv,real-word,left-only,cultural,determinant,of,determinants,realword confusion: expected='determinants' wrong='determinant' | needs=left-only,aim to define the cultural determinant of health and describe their
t2_0598,test2.csv,real-word,right-only,the,predictions,model,prediction,realword confusion: expected='prediction' wrong='predictions' | needs=right-only,algorithms and parameters of the predictions model
t2_0599,test2.csv,real-word,right-only,and,rice,ethnicity,race,realword confusion: expected='race' wrong='rice' | needs=right-only,median heightfor patients sex and rice ethnicity adjusted odds ratios aor
t2_0600,test2.csv,real-word,left-only,the,timo,moment,time,realword confusion: expected='time' wrong='timo' | needs=left-only,model we can solve the timo moment of bankruptcy of firm
t2_0601,test2.csv,real-word,left-only,this,anemic,hospitable,pandemic,realword confusion: expected='pandemic' wrong='anemic' | needs=left-only,of hospitable care during this anemic hospitable nursing care is grounded
t2_0602,test2.csv,real-word,left-only,molecular,cooking,without,docking,realword confusion: expected='docking' wrong='cooking' | needs=left-only,study was restricted to molecular cooking without validation by molecular dynamics
t2_0603,test2.csv,real-word,left-only,in,contract,with,contrast,realword confusion: expected='contrast' wrong='contract' | needs=left-only,transfers after cardiology admission in contract with rate in
t2_0604,test2.csv,real-word,right-only,of,student,who,students,realword confusion: expected='students' wrong='student' | needs=right-only,but the exam performance of student who used computer for online
t2_0605,test2.csv,real-word,both-needed,should,aldo,gradually,also,realword confusion: expected='also' wrong='aldo' | needs=both-needed,the best-case scenario should aldo gradually incorporate workers in daily
t2_0606,test2.csv,real-word,both-needed,pandemics,method,we,methods,realword confusion: expected='methods' wrong='method' | needs=both-needed,covid-19 and other coronavirus pandemics method we conducted systematic review of
t2_0607,test2.csv,real-word,left-only,taken,altogether,both,together,realword confusion within edit<=2; label=left-only; corr_both=ok,in scale to covid-19 taken altogether both previous outbreaks of other
t2_0608,test2.csv,real-word,right-only,the,flight,against,fight,realword confusion within edit<=2; label=right-only; corr_both=ok,affect the success of the flight against the sars-cov2 pandemic to
t2_0609,test2.csv,real-word,left-only,to,investigates,vaers,investigate,realword confusion within edit<=2; label=left-only; corr_both=ok,of this study was to investigates vaers patterns reported aefis adverse
t2_0610,test2.csv,real-word,right-only,leave,dosing,multinomial,using,realword confusion within edit<=2; label=right-only; corr_both=ok,past or future sick leave dosing multinomial logistic regression
t2_0611,test2.csv,real-word,right-only,swab,ccle,threshold,cycle,realword confusion within edit<=2; label=right-only; corr_both=ok,patients with concurrent nasopharyngeal swab ccle threshold ct were
t2_0612,test2.csv,real-word,both-needed,absolute,lymphocytes,count,lymphocyte,realword confusion within edit<=2; label=both-needed; corr_both=ok,symptoms respiratory rate fever absolute lymphocytes count hypoalbuminemia troponin level and
t2_0613,test2.csv,real-word,both-needed,were,kent,an,sent,realword confusion within edit<=2; label=both-needed; corr_both=ok,and debriefing the nurses were kent an anonymous survey regarding the
t2_0614,test2.csv,real-word,right-only,adverse,economics,and,economic,realword confusion within edit<=2; label=right-only; corr_both=ok,daily sustenance and having adverse economics and travel effects than other
t2_0615,test2.csv,real-word,left-only,quantitative,structures,activity,structure,realword confusion within edit<=2; label=left-only; corr_both=ok,is applied for the quantitative structures activity relationship to generate and
t2_0616,test2.csv,real-word,right-only,his,aiding,room,living,realword confusion within edit<=2; label=right-only; corr_both=ok,entirely distributed out of his aiding room using variety of web
